"id","year","Y","VA","K","L","M","I","naics3"
1034,2002,1217973282.90385,466485550.668095,94207826.7225287,4700,772695992.519017,83.3419001559199,"325"
1034,2003,1228934546.64544,429871264.889021,83341900.1559199,4700,804036567.969792,47.9134343709928,"325"
1034,2004,1201707741.77286,424538881.383187,47913434.3709928,4200,767768770.471868,54.6006576880571,"325"
1034,2005,457534710.902895,256924502.528098,54600657.6880571,1400,195099616.661059,42.4280862290335,"325"
1034,2006,506254743.080684,204815576.830563,42428086.2290335,1400,295477268.574496,38.4978554825921,"325"
1034,2007,536403440.925594,154170542.129947,38497855.4825921,2000,373640739.276497,62.7563846012278,"325"
1040,1961,1721666665.17943,620235507.43154,462308143.820791,18500,1284196521.97874,77.7302238876366,"339"
1040,1962,1377479808.66093,578678250.604077,529635977.677808,16700,924184754.305598,34.5536755062596,"339"
1040,1963,1191266738.54256,562809203.271018,34553675.5062596,15900,724396488.58889,80.9182712026722,"339"
1040,1964,1316700274.50107,586245381.925635,80918271.2026722,17100,832816984.461987,101.70499663493,"339"
1040,1965,1265820270.60651,557676423.412228,101704996.63493,16500,802990665.42062,61.7688910519563,"339"
1040,1966,1332772994.07611,557356537.30399,61768891.0519563,16900,880076878.5615,67.6432583277339,"339"
1040,1967,1475233386.36502,599457756.303029,67643258.3277339,17800,991937441.830147,75.1645812489339,"339"
1040,1968,1782677581.8984,764595788.394964,75164581.2489339,22800,1139584420.06105,85.091179286248,"339"
1040,1969,1826915976.32482,797040923.988039,85091179.286248,23500,1123204264.12862,85.9505000554225,"339"
1040,1970,1860170363.42826,825406068.746364,85950500.0554225,24296,1125864800.24366,75.1654229933425,"339"
1040,1971,2116334252.27797,913419719.304168,75165422.9933425,26203,1308208128.35999,92.383331985757,"339"
1040,1972,2585695726.38182,1042125385.45906,92383331.985757,29363,1642665689.81432,117.754491906968,"339"
1040,1973,2581627250.85876,1134666654.07501,117754491.906968,33200,1485791208.98525,113.127826698673,"339"
1040,1974,2408595511.65544,898991254.597024,113127826.698673,30400,1448215266.79096,114.03549800707,"339"
1040,1975,2175282977.84479,872354632.931074,114035498.00707,27900,1249413951.30778,107.56573188939,"339"
1040,1976,2321853016.06474,963640243.13522,107565731.88939,30700,1279856586.9046,107.070917973191,"339"
1040,1977,2453332005.11162,931993628.532169,107070917.973191,28400,1412496231.37809,82.502675207751,"339"
1040,1978,2470364384.49244,906201362.33383,82502675.207751,28559,1445294184.80687,100.86673422087,"339"
1040,1979,2426085051.71311,896547900.770404,100866734.22087,29128,1388230093.11939,107.349268296209,"339"
1040,1980,2217224275.45603,784897261.99597,107349268.296209,26040,1361159753.34186,118.958430020834,"339"
1040,1981,1758827758.18489,704259130.942823,118958430.020834,21320,971434659.632663,133.622421559443,"339"
1040,1982,1429658836.09956,575194151.559996,133622421.559443,17273,797255933.147429,137.0657414112,"339"
1040,1983,1286641124.91033,559048068.575586,137065741.4112,18738,679679730.011445,63.4812664099957,"339"
1040,1984,1432052354.64938,621942767.018877,63481266.4099957,18684,752886616.783281,71.9750734172824,"339"
1055,1984,37501479.5644267,11549759.7593442,2209589.35756576,336,34305211.805613,2.1348546930464,"334"
1055,1985,88133339.4313094,33942413.4290331,4325667.18618132,532,67190499.7632085,2.66280791134626,"334"
1055,1986,114655140.173187,48421575.6457541,2662807.91134626,800,80148240.6055135,6.37729424535675,"334"
1055,1987,143776280.883591,44572370.1517582,6377294.24535675,1358,114418169.457971,6.13503011363422,"334"
1055,1988,289846201.882495,67806343.8311964,6135030.11363422,2242,246264340.14703,14.0109443244676,"334"
